F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,O2,O1,AF3
-1,4,91,34,-9,51,78,30,-15,50,-7,4,-35,1
-5,-13,92,21,-28,36,82,27,-15,40,-19,0,-33,-3
8,-2,89,24,-24,36,84,30,-6,41,-8,1,-31,7
9,6,89,26,5,39,77,30,4,47,-3,2,-28,15
4,-5,93,23,23,32,59,25,16,48,-18,1,-34,18
4,-5,93,23,23,32,59,25,16,48,-18,1,-34,18
-6,-12,92,26,23,26,45,20,21,44,-20,-9,-37,10
-21,-29,88,25,24,33,38,20,20,31,-8,-29,-39,-3
-21,-19,90,28,27,47,52,26,22,33,-1,-24,-37,6
1,12,99,42,32,61,81,31,33,55,15,5,-21,29
24,26,102,56,31,65,97,32,33,66,35,10,-6,35
23,31,91,56,27,65,101,36,27,59,36,-2,2,28
23,31,91,56,27,65,101,36,27,59,36,-2,2,28
14,17,84,41,25,60,108,30,34,47,18,-5,6,29
18,11,82,26,11,37,108,7,32,44,-1,-14,6,29
26,13,72,26,-5,22,100,-5,8,42,-6,-26,10,22
16,5,61,30,-8,29,90,1,-5,41,0,-24,22,16
-1,4,58,30,0,34,92,1,10,33,-1,-17,26,15
1,2,66,32,14,30,103,-5,25,26,-3,-7,25,23
1,2,66,32,14,30,103,-5,25,26,-3,-7,25,23
1,9,63,34,20,29,89,-6,28,35,1,-9,29,21
-3,2,57,24,14,28,48,-4,23,33,-5,-28,32,6
-3,-21,75,17,4,27,28,-3,15,17,0,-34,30,-5
-12,-14,86,24,-5,30,44,-3,4,19,19,-22,28,-6
-15,-7,82,36,-6,36,57,11,5,26,38,-7,42,1
-6,-6,89,34,-8,30,63,33,14,14,47,4,49,1
-6,-6,89,34,-8,30,63,33,14,14,47,4,49,1
0,2,92,25,-20,21,67,30,16,8,41,6,41,-1
-2,-1,84,30,-34,27,52,20,19,26,35,3,40,6
-4,6,84,38,-39,32,25,16,14,30,31,4,45,9
-5,10,91,32,-37,25,15,11,2,14,30,1,46,4
-5,14,93,30,-32,26,34,18,7,18,42,1,55,10
-2,23,95,33,-28,39,53,33,20,41,57,3,59,30
6,26,90,43,-23,50,63,29,18,47,61,2,50,35
6,26,90,43,-23,50,63,29,18,47,61,2,50,35
14,46,86,59,-22,53,77,26,18,43,58,11,58,30
6,45,94,55,-19,40,93,28,31,34,51,15,66,25
-5,18,95,30,-14,27,97,17,31,24,44,3,56,20
-7,13,82,21,-20,24,94,5,29,15,41,-4,54,19
-12,8,78,32,-28,16,88,3,31,5,48,2,55,13
-12,8,78,32,-28,16,88,3,31,5,48,2,55,13
-25,0,88,21,-31,1,50,-2,14,1,50,1,54,-4
-33,-5,88,5,-34,0,11,-3,0,1,46,-12,55,-8
-31,1,84,13,-36,13,12,1,3,1,45,-17,58,3
-27,11,80,16,-46,9,20,1,1,0,45,-14,57,-3
-23,-1,70,18,-52,5,23,-2,-4,-1,53,-6,54,-10
-29,-4,73,25,-44,13,42,4,-4,3,60,2,60,-6
-39,-4,88,15,-37,10,66,5,-1,-4,60,-6,66,-9
-39,-4,88,15,-37,10,66,5,-1,-4,60,-6,66,-9
-42,-15,87,-6,-49,-7,68,-17,0,-24,53,-26,52,-16
-40,-16,71,-11,-59,-15,60,-32,-10,-29,36,-40,43,-19
-30,-16,71,1,-48,-9,72,-17,-19,-14,38,-34,51,-11
-26,2,83,16,-33,2,83,3,-10,2,62,-13,61,-2
-29,14,89,24,-34,9,63,2,4,4,74,-3,61,3
-19,4,86,16,-37,1,31,0,1,-11,66,-9,62,-4
-1,19,90,21,-25,9,26,19,-1,-7,80,3,78,-3
-1,19,90,21,-25,9,26,19,-1,-7,80,3,78,-3
11,42,100,47,-16,36,36,42,10,22,106,34,93,19
13,52,95,61,-29,38,26,44,6,39,107,35,89,33
11,53,90,56,-31,29,21,34,-7,32,97,18,87,27
5,45,95,46,-26,34,33,20,-4,16,92,13,85,11
