4HzAF3;5HzAF3;6HzAF3;7HzAF3;4HzAF4;5HzAF4;6HzAF4;7HzAF4;4HzF3;5HzF3;6HzF3;7HzF3;4HzF4;5HzF4;6HzF4;7HzF4;4HzF7;5HzF7;6HzF7;7HzF7;4HzF8;5HzF8;6HzF8;7HzF8
0.018;0.006;0.004;0.003;0.012;0.004;0.002;0.002;0.003;0.000;0.002;0.001;0.009;0.004;0.002;0.001;0.022;0.006;0.010;0.006;0.015;0.004;0.004;0.003
0.008;0.002;0.002;0.000;0.008;0.002;0.000;0.000;0.002;0.000;0.002;0.000;0.003;0.004;0.003;0.001;0.030;0.006;0.006;0.000;0.006;0.001;0.001;0.000
0.000;0.002;0.001;0.001;0.000;0.005;0.001;0.001;0.018;0.024;0.000;0.004;0.000;0.004;0.011;0.001;0.006;0.005;0.002;0.000;0.000;0.001;0.001;0.000
0.002;0.001;0.001;0.000;0.004;0.001;0.001;0.001;0.007;0.006;0.008;0.002;0.004;0.000;0.003;0.005;0.004;0.001;0.000;0.002;0.000;0.001;0.000;0.000
0.001;0.000;0.001;0.000;0.004;0.001;0.002;0.001;0.028;0.023;0.017;0.006;0.006;0.005;0.006;0.004;0.003;0.000;0.005;0.001;0.001;0.000;0.001;0.000
0.001;0.000;0.000;0.000;0.001;0.001;0.000;0.000;0.002;0.001;0.004;0.002;0.001;0.001;0.003;0.001;0.004;0.001;0.003;0.001;0.000;0.000;0.000;0.000
0.004;0.001;0.000;0.001;0.003;0.001;0.001;0.000;0.005;0.001;0.000;0.000;0.006;0.001;0.001;0.000;0.343;0.232;0.142;0.087;0.002;0.000;0.000;0.001
0.001;0.001;0.001;0.002;0.003;0.002;0.002;0.004;0.006;0.002;0.000;0.005;0.040;0.022;0.020;0.018;0.131;0.002;0.063;0.005;0.002;0.000;0.001;0.002
0.004;0.001;0.002;0.002;0.005;0.001;0.003;0.002;0.002;0.002;0.001;0.002;0.012;0.004;0.006;0.004;0.203;0.075;0.074;0.028;0.004;0.000;0.002;0.000
0.004;0.005;0.001;0.001;0.003;0.002;0.000;0.000;0.001;0.002;0.002;0.000;0.019;0.012;0.007;0.014;0.074;0.056;0.029;0.018;0.003;0.001;0.001;0.000
0.035;0.003;0.015;0.000;0.037;0.003;0.006;0.000;0.002;0.012;0.004;0.006;0.021;0.019;0.001;0.005;0.050;0.001;0.014;0.002;0.007;0.004;0.003;0.001
0.090;0.118;0.025;0.009;0.080;0.108;0.022;0.010;0.008;0.003;0.013;0.010;0.030;0.043;0.012;0.009;0.011;0.030;0.007;0.009;0.005;0.011;0.003;0.004
0.024;0.003;0.031;0.008;0.026;0.002;0.038;0.005;0.015;0.002;0.016;0.006;0.010;0.004;0.028;0.004;0.009;0.001;0.021;0.004;0.005;0.012;0.007;0.002
